pdb_id,label,fixture_sha256,expected_rc,verbose,expected_readiness,expected_pdb_sha256,error_marker
1CRN,protein,42199a30a0701864a2a5cc76cd7f35cc544cd0e65fbcf63e03c166543249b811,0,0,,6f0a5b03fd5a4650a6eca217c05861b6df02214d1377056255529c50360f7dd2,
1UBQ,protein with crystallographic water,d4a6812d8951cf6594e6a0763f089e35f5a80b62acb3c117b2c5565228a7b161,0,1,PASS_WITH_WARNING,bd9424849b3aaa434d5f9f4a22e3fda9117212e7590716a2b2dfa917498d1628,
1CLL,calmodulin with calcium and ethanol,54c094c7c337d7b5829bb9d865cd0042f9e5557478d1528f76c1e7b691f8ce37,0,1,FAIL,16a73acd41b1af28b977d8ee89857fd72e17213c965c89eb37f605d39be50e84,
3Q2W,cadherin with glycans and calcium,624ab1b4b2313c6ddc1166bd10c8cfbbb600a857aecc378c5b1dbc12664370ac,0,1,FAIL,e9b403e8c4f45bce87237160bd73160068db740963ec07064c3786737f82ff88,
1BNA,DNA duplex,df42f1506792f191b957227b061360652adcf6f813eb69d9ec553067ea584670,0,1,PASS_WITH_WARNING,db85f4f743691167e4f0b80af4cb31adb5ab3c304dd2241ad04c1cf8708a700c,
6M0J,"glycoprotein complex with NAG, zinc and chloride",51f27a495c0c12fa87f459a2510a9268d4d48a34b63ba3e5db5ae7c672a26af5,0,1,PASS_WITH_WARNING,d33e2c00f6d1245e67e35912ae9e8be9d422624f0143e608a81ad23a97f1827d,
6VSB,SARS-CoV-2 spike with NAG,52912c05f77318dcbee8a9a8c7abdbab7d45e7dd43224d63b1ace565d960458c,0,1,FAIL,8dfb4f4396a7c6e07f97a19ae92bad08622d2049ac6dae82833d993820bd8e4a,
1EHZ,tRNA with modified nucleotides,3a43aefed0b6d5d8b4be47c44470e61258d0e90b5ff608f132a2c9731c9df41f,1,1,,,Residue or moiety 1MA
4HHB,hemoglobin with heme,abf382e0fd84b53bd4c08b373d37c0d7fe9fbe1a9a9c3851b2f5f2fbbe627101,1,0,,,Residue or moiety HEM
4COF,GABAA receptor with benzamidine,80a7b7aa9327d5b3d3fa3d6b74ec24db4d4b17cc605affe70254404fbbda60ac,1,1,,,Residue or moiety BEN
