code	ccd_comp_id	anomer	config	sugar	ring	linkage	method	onebead_target	identity	status
0AA	64K	alpha	D	arabino	pyranose	0	ccd_name_index			UNSUPPORTED_ONEBEAD
0AB	SEJ	beta	D	arabino	pyranose	0	ccd_name_index			UNSUPPORTED_ONEBEAD
0AD	BXY	alpha	D	arabino	furanose	0	ccd_name_index			UNSUPPORTED_ONEBEAD
0AU	BXX	beta	D	arabino	furanose	0	ccd_name_index			UNSUPPORTED_ONEBEAD
0BA		alpha	D	sorbo	pyranose	0	undecoded			UNSUPPORTED_ONEBEAD
0BB		beta	D	sorbo	pyranose	0	undecoded			UNSUPPORTED_ONEBEAD
0BD		alpha	D	sorbo	furanose	0	undecoded			UNSUPPORTED_ONEBEAD
0BU	UEA	beta	D	sorbo	furanose	0	ccd_name_index			UNSUPPORTED_ONEBEAD
0CA		alpha	D	fructo	pyranose	0	undecoded			UNSUPPORTED_ONEBEAD
0CB	BDF	beta	D	fructo	pyranose	0	ccd_name_index			UNSUPPORTED_ONEBEAD
0CD	Z9N	alpha	D	fructo	furanose	0	ccd_name_index			UNSUPPORTED_ONEBEAD
0CU	FRU	beta	D	fructo	furanose	0	ccd_name_index			UNSUPPORTED_ONEBEAD
0DA	LDY	alpha	D	lyxo	pyranose	0	ccd_name_index			UNSUPPORTED_ONEBEAD
0DB	Z4W	beta	D	lyxo	pyranose	0	ccd_name_index			UNSUPPORTED_ONEBEAD
0DD		alpha	D	lyxo	furanose	0	undecoded			UNSUPPORTED_ONEBEAD
0DU		beta	D	lyxo	furanose	0	undecoded			UNSUPPORTED_ONEBEAD
0EA	SHD	alpha	D	altro	pyranose	0	ccd_name_index			UNSUPPORTED_ONEBEAD
0EB		beta	D	altro	pyranose	0	undecoded			UNSUPPORTED_ONEBEAD
0FA	FCA	alpha	D	fuco	pyranose	0	ccd_name_index			UNSUPPORTED_ONEBEAD
0FB	FCB	beta	D	fuco	pyranose	0	ccd_name_index			UNSUPPORTED_ONEBEAD
0GA	GLC	alpha	D	gluco	pyranose	0	ccd_name_index	GLC	alpha-D-Glcp	SUPPORTED_ONEBEAD
0GB	BGC	beta	D	gluco	pyranose	0	ccd_name_index	GLC	beta-D-Glcp	SUPPORTED_ONEBEAD
0HA	XXR	alpha	D	rhamno	pyranose	0	ccd_name_index			UNSUPPORTED_ONEBEAD
0HB	UBO	beta	D	rhamno	pyranose	0	ccd_name_index			UNSUPPORTED_ONEBEAD
0JA	T6T	alpha	D	tagato	pyranose	0	ccd_name_index			UNSUPPORTED_ONEBEAD
0JB		beta	D	tagato	pyranose	0	undecoded			UNSUPPORTED_ONEBEAD
0JD		alpha	D	tagato	furanose	0	undecoded			UNSUPPORTED_ONEBEAD
0JU		beta	D	tagato	furanose	0	undecoded			UNSUPPORTED_ONEBEAD
0KA	4GL	alpha	D	gulo	pyranose	0	ccd_name_index			UNSUPPORTED_ONEBEAD
0KB	GL0	beta	D	gulo	pyranose	0	ccd_name_index			UNSUPPORTED_ONEBEAD
0LA	GLA	alpha	D	galacto	pyranose	0	ccd_name_index	GAL	alpha-D-Galp	SUPPORTED_ONEBEAD
0LB	GAL	beta	D	galacto	pyranose	0	ccd_name_index	GAL	beta-D-Galp	SUPPORTED_ONEBEAD
0MA	MAN	alpha	D	manno	pyranose	0	ccd_name_index	MAN	alpha-D-Manp	SUPPORTED_ONEBEAD
0MB	BMA	beta	D	manno	pyranose	0	ccd_name_index	BMA	beta-D-Manp	SUPPORTED_ONEBEAD
0NA	AFD	alpha	D	allo	pyranose	0	ccd_name_index			UNSUPPORTED_ONEBEAD
0NB	ALL	beta	D	allo	pyranose	0	ccd_name_index			UNSUPPORTED_ONEBEAD
0OA	ADA	alpha	D	galacto	pyranuronic acid	0	ccd_name_index			UNSUPPORTED_ONEBEAD
0OB	GTR	beta	D	galacto	pyranuronic acid	0	ccd_name_index			UNSUPPORTED_ONEBEAD
0PA		alpha	D	psico	pyranose	0	undecoded			UNSUPPORTED_ONEBEAD
0PB		beta	D	psico	pyranose	0	undecoded			UNSUPPORTED_ONEBEAD
0PD	PSV	alpha	D	psico	furanose	0	ccd_name_index			UNSUPPORTED_ONEBEAD
0PU	TTV	beta	D	psico	furanose	0	ccd_name_index			UNSUPPORTED_ONEBEAD
0QA	G6D	alpha	D	quinovo	pyranose	0	ccd_name_index			UNSUPPORTED_ONEBEAD
0QB	YYK	beta	D	quinovo	pyranose	0	ccd_name_index			UNSUPPORTED_ONEBEAD
0RA	YYM	alpha	D	ribo	pyranose	0	ccd_name_index			UNSUPPORTED_ONEBEAD
0RB	RIP	beta	D	ribo	pyranose	0	ccd_name_index			UNSUPPORTED_ONEBEAD
0RD	RIB	alpha	D	ribo	furanose	0	ccd_name_index			UNSUPPORTED_ONEBEAD
0RU	BDR	beta	D	ribo	furanose	0	ccd_name_index			UNSUPPORTED_ONEBEAD
0SA	SIA	alpha	D	neuraminic	pyranose	0	ccd_name_index	SIA	alpha-D-Neu5Ac	SUPPORTED_ONEBEAD
0SB	SLB	beta	D	neuraminic	pyranose	0	ccd_name_index	SIA	beta-D-Neu5Ac	SUPPORTED_ONEBEAD
0TA		alpha	D	talo	pyranose	0	undecoded			UNSUPPORTED_ONEBEAD
0TB	SDY	beta	D	talo	pyranose	0	ccd_name_index			UNSUPPORTED_ONEBEAD
0UA		alpha	D	ido	pyranuronic acid	0	undecoded			UNSUPPORTED_ONEBEAD
0UB		beta	D	ido	pyranuronic acid	0	undecoded			UNSUPPORTED_ONEBEAD
0VA	A2G	alpha	D	galacto	pyranose	0	ccd_name_index	NGA	alpha-D-GalNAcp	SUPPORTED_ONEBEAD
0VB	NGA	beta	D	galacto	pyranose	0	ccd_name_index	NGA	beta-D-GalNAcp	SUPPORTED_ONEBEAD
0WA	BM3	alpha	D	manno	pyranose	0	ccd_name_index			UNSUPPORTED_ONEBEAD
0WB	BM7	beta	D	manno	pyranose	0	ccd_name_index			UNSUPPORTED_ONEBEAD
0XA	XYS	alpha	D	xylo	pyranose	0	ccd_name_index			UNSUPPORTED_ONEBEAD
0XB	HSZ	beta	D	xylo	pyranose	0	ccd_name_index			UNSUPPORTED_ONEBEAD
0XD		alpha	D	xylo	furanose	0	undecoded			UNSUPPORTED_ONEBEAD
0XU	XYZ	beta	D	xylo	furanose	0	ccd_name_index			UNSUPPORTED_ONEBEAD
0YA	NDG	alpha	D	gluco	pyranose	0	ccd_name_index	NAG	alpha-D-GlcNAcp	SUPPORTED_ONEBEAD
0YB	NAG	beta	D	gluco	pyranose	0	ccd_name_index	NAG	beta-D-GlcNAcp	SUPPORTED_ONEBEAD
0ZA	GCU	alpha	D	gluco	pyranuronic acid	0	ccd_name_index			UNSUPPORTED_ONEBEAD
0ZB	BDP	beta	D	gluco	pyranuronic acid	0	ccd_name_index			UNSUPPORTED_ONEBEAD
0aA	ARA	alpha	L	arabino	pyranose	0	ccd_name_index			UNSUPPORTED_ONEBEAD
0aB	ARB	beta	L	arabino	pyranose	0	ccd_name_index			UNSUPPORTED_ONEBEAD
0aD	AHR	alpha	L	arabino	furanose	0	ccd_name_index			UNSUPPORTED_ONEBEAD
0aU	FUB	beta	L	arabino	furanose	0	ccd_name_index			UNSUPPORTED_ONEBEAD
0bA	SOE	alpha	L	sorbo	pyranose	0	ccd_name_index			UNSUPPORTED_ONEBEAD
0bB		beta	L	sorbo	pyranose	0	undecoded			UNSUPPORTED_ONEBEAD
0bD		alpha	L	sorbo	furanose	0	undecoded			UNSUPPORTED_ONEBEAD
0bU		beta	L	sorbo	furanose	0	undecoded			UNSUPPORTED_ONEBEAD
0cA		alpha	L	fructo	pyranose	0	undecoded			UNSUPPORTED_ONEBEAD
0cB		beta	L	fructo	pyranose	0	undecoded			UNSUPPORTED_ONEBEAD
0cD		alpha	L	fructo	furanose	0	undecoded			UNSUPPORTED_ONEBEAD
0cU	LFR	beta	L	fructo	furanose	0	ccd_name_index			UNSUPPORTED_ONEBEAD
0dA		alpha	L	lyxo	pyranose	0	undecoded			UNSUPPORTED_ONEBEAD
0dB		beta	L	lyxo	pyranose	0	undecoded			UNSUPPORTED_ONEBEAD
0dD		alpha	L	lyxo	furanose	0	undecoded			UNSUPPORTED_ONEBEAD
0dU		beta	L	lyxo	furanose	0	undecoded			UNSUPPORTED_ONEBEAD
0eA	Z6H	alpha	L	altro	pyranose	0	ccd_name_index			UNSUPPORTED_ONEBEAD
0eB	3MK	beta	L	altro	pyranose	0	ccd_name_index			UNSUPPORTED_ONEBEAD
0fA	FUC	alpha	L	fuco	pyranose	0	ccd_name_index	FUC	alpha-L-Fucp	SUPPORTED_ONEBEAD
0fB	FUL	beta	L	fuco	pyranose	0	ccd_name_index	FUC	beta-L-Fucp	SUPPORTED_ONEBEAD
0gA		alpha	L	gluco	pyranose	0	undecoded			UNSUPPORTED_ONEBEAD
0gB	Z8T	beta	L	gluco	pyranose	0	ccd_name_index			UNSUPPORTED_ONEBEAD
0hA	RAM	alpha	L	rhamno	pyranose	0	ccd_name_index			UNSUPPORTED_ONEBEAD
0hB	RM4	beta	L	rhamno	pyranose	0	ccd_name_index			UNSUPPORTED_ONEBEAD
0jA		alpha	L	tagato	pyranose	0	undecoded			UNSUPPORTED_ONEBEAD
0jB		beta	L	tagato	pyranose	0	undecoded			UNSUPPORTED_ONEBEAD
0jD		alpha	L	tagato	furanose	0	undecoded			UNSUPPORTED_ONEBEAD
0jU		beta	L	tagato	furanose	0	undecoded			UNSUPPORTED_ONEBEAD
0kA	GUP	alpha	L	gulo	pyranose	0	ccd_name_index			UNSUPPORTED_ONEBEAD
0kB	Z8H	beta	L	gulo	pyranose	0	ccd_name_index			UNSUPPORTED_ONEBEAD
0lA	GXL	alpha	L	galacto	pyranose	0	ccd_name_index			UNSUPPORTED_ONEBEAD
